Namespace(model='mobileVitV2', dataset='imagenet_1k', sign_type='polyfit', data_collection=False, working_directory='/home/jianming/work/SmartPAF/cvnet_work/')
2024-01-22 08:13:17 - [93m[1mDEBUG   [0m - Cannot load internal arguments, skipping.
Results: loss=1.37407,	 top1=70.7000,	 top5=88.8000
polyfit
end point: 39.73949432373047
coef: tensor([[ 6.6081e-02, -1.5038e-04,  1.4726e-07, -4.7340e-11]],
       dtype=torch.float64)
name:  conv_1.block.act
conv_1.block.act_input.pt
Epoch:77 Train Loss:498233720.8888888955 Val Loss: 402478128.0000000000
Epoch:78 Train Loss:498105550.2222222090 Val Loss: 402393808.0000000000
Epoch:79 Train Loss:497976277.3333333135 Val Loss: 402309376.0000000000
Epoch:80 Train Loss:497845930.6666666865 Val Loss: 402224480.0000000000
Epoch:81 Train Loss:497714508.4444444180 Val Loss: 402139632.0000000000
Epoch:82 Train Loss:497582078.2222222090 Val Loss: 402054464.0000000000
Epoch:83 Train Loss:497448679.1111111045 Val Loss: 401969088.0000000000
Epoch:84 Train Loss:497314254.2222222090 Val Loss: 401883760.0000000000
Epoch:85 Train Loss:497178853.3333333135 Val Loss: 401798384.0000000000
Epoch:86 Train Loss:497042677.3333333135 Val Loss: 401713040.0000000000
Epoch:87 Train Loss:496905521.7777777910 Val Loss: 401627808.0000000000
Epoch:88 Train Loss:496767544.8888888955 Val Loss: 401542720.0000000000
Epoch:89 Train Loss:496628766.2222222090 Val Loss: 401457808.0000000000
Epoch:90 Train Loss:496489184.0000000000 Val Loss: 401373168.0000000000
Epoch:91 Train Loss:496348974.2222222090 Val Loss: 401288880.0000000000
Epoch:92 Train Loss:496207953.7777777910 Val Loss: 401205024.0000000000
Epoch:93 Train Loss:496066346.6666666865 Val Loss: 401121712.0000000000
Epoch:94 Train Loss:495924142.2222222090 Val Loss: 401038800.0000000000
Epoch:95 Train Loss:495781374.2222222090 Val Loss: 400956656.0000000000
Epoch:96 Train Loss:495638101.3333333135 Val Loss: 400875168.0000000000
Epoch:97 Train Loss:495494382.2222222090 Val Loss: 400794464.0000000000
Epoch:98 Train Loss:495350273.7777777910 Val Loss: 400714784.0000000000
Epoch:99 Train Loss:495205776.0000000000 Val Loss: 400636048.0000000000
Epoch:100 Train Loss:495061098.6666666865 Val Loss: 400558464.0000000000
save: CT_polyfit_Spolyfit_c7_40s/conv_1.block.act_coef.pt


end point: 130.82919311523438
coef: tensor([[ 2.0524e-02, -4.3878e-06,  3.9951e-10, -1.1901e-14]],
       dtype=torch.float64)
name:  layer_1.0.block.exp_1x1.block.act
layer_1.0.block.exp_1x1.block.act_input.pt
Epoch:1 Train Loss:34015515347543641817088.0000000000 Val Loss: 302094212208612805181440.0000000000
Epoch:2 Train Loss:33839117454548119060480.0000000000 Val Loss: 556257289123065527009280.0000000000
Epoch:3 Train Loss:50630458569054570414080.0000000000 Val Loss: 915267687177611999444992.0000000000
Epoch:4 Train Loss:70164991662867246743552.0000000000 Val Loss: 1274039907862265355829248.0000000000
Epoch:5 Train Loss:86150837064110283161600.0000000000 Val Loss: 575515987173593705349120.0000000000
Epoch:6 Train Loss:35929371683309207158784.0000000000 Val Loss: 182834975944166258769920.0000000000
Epoch:7 Train Loss:10906209560341174550528.0000000000 Val Loss: 44521952034537171058688.0000000000
Epoch:8 Train Loss:2544814478656731086848.0000000000 Val Loss: 8075005923271014088704.0000000000
Epoch:9 Train Loss:439712548258792079360.0000000000 Val Loss: 981929484865727627264.0000000000
Epoch:10 Train Loss:50057767201210195968.0000000000 Val Loss: 57554305591841652736.0000000000
Epoch:11 Train Loss:2592557085935563264.0000000000 Val Loss: 23658130223136768.0000000000
Epoch:12 Train Loss:25218718532486940.0000000000 Val Loss: 1189347173783830528.0000000000
Epoch:13 Train Loss:82062262462724320.0000000000 Val Loss: 495480114599952384.0000000000
Epoch:14 Train Loss:27786981292725588.0000000000 Val Loss: 63956374110863360.0000000000
Epoch:15 Train Loss:4923866438696960.0000000000 Val Loss: 52520856181538816.0000000000
Epoch:16 Train Loss:4093018256237454.0000000000 Val Loss: 44409601063387136.0000000000
Epoch:17 Train Loss:3467603051573703.0000000000 Val Loss: 37564216151900160.0000000000
Epoch:18 Train Loss:2933701007755036.5000000000 Val Loss: 31617413560664064.0000000000
Epoch:19 Train Loss:2469539360363861.5000000000 Val Loss: 26456543276826624.0000000000
Epoch:20 Train Loss:2067177827758535.0000000000 Val Loss: 22005928781938688.0000000000
Epoch:21 Train Loss:1720662208603022.2500000000 Val Loss: 18194978798829568.0000000000
Epoch:22 Train Loss:1424332290581390.2500000000 Val Loss: 14954893320126464.0000000000
Epoch:23 Train Loss:1172685508021817.0000000000 Val Loss: 12219405698072576.0000000000
Epoch:24 Train Loss:960447659260131.5000000000 Val Loss: 9925829677023232.0000000000
Epoch:25 Train Loss:782652351883946.6250000000 Val Loss: 8015841882800128.0000000000
Epoch:26 Train Loss:634697924098275.5000000000 Val Loss: 6435984937844736.0000000000
Epoch:27 Train Loss:512382029558215.1250000000 Val Loss: 5137920931397632.0000000000
Epoch:28 Train Loss:411916633170830.2500000000 Val Loss: 4078469738659840.0000000000
Epoch:29 Train Loss:329927907169621.3125000000 Val Loss: 3219497183870976.0000000000
Epoch:30 Train Loss:263443979552540.4375000000 Val Loss: 2527684554915840.0000000000
Epoch:31 Train Loss:209874410886485.3437500000 Val Loss: 1974205776134144.0000000000
Epoch:32 Train Loss:166983003566535.1250000000 Val Loss: 1534361816006656.0000000000
Epoch:33 Train Loss:132857609468131.5625000000 Val Loss: 1187184577085440.0000000000
Epoch:34 Train Loss:105877647625784.8906250000 Val Loss: 915027305431040.0000000000
Epoch:35 Train Loss:84681508083029.3281250000 Val Loss: 703166559551488.0000000000
Epoch:36 Train Loss:68134741766599.1093750000 Val Loss: 539419454996480.0000000000
Epoch:37 Train Loss:55299792116849.7812500000 Val Loss: 413787660222464.0000000000
Epoch:38 Train Loss:45407979758478.2187500000 Val Loss: 318130953912320.0000000000
Epoch:39 Train Loss:37833961577585.7812500000 Val Loss: 245874751963136.0000000000
Epoch:40 Train Loss:32072888425585.7773437500 Val Loss: 191749819465728.0000000000
Epoch:41 Train Loss:27720250614670.2226562500 Val Loss: 151566564720640.0000000000
Epoch:42 Train Loss:24454337804515.5546875000 Val Loss: 122019309944832.0000000000
Epoch:43 Train Loss:22021173470094.2226562500 Val Loss: 100520317419520.0000000000
Epoch:44 Train Loss:20221716128654.2226562500 Val Loss: 85059828711424.0000000000
Epoch:45 Train Loss:18901116037802.6679687500 Val Loss: 74089274277888.0000000000
Epoch:46 Train Loss:17939774628750.2226562500 Val Loss: 66425264799744.0000000000
Epoch:47 Train Loss:17245994192440.8886718750 Val Loss: 61170980487168.0000000000
Epoch:48 Train Loss:16749981976348.4453125000 Val Loss: 57652784660480.0000000000
Epoch:49 Train Loss:16399010307185.7773437500 Val Loss: 55369107767296.0000000000
Epoch:50 Train Loss:16153540995754.6660156250 Val Loss: 53950209327104.0000000000
Epoch:51 Train Loss:15984146921699.5546875000 Val Loss: 53126372524032.0000000000
Epoch:52 Train Loss:15869108551680.0000000000 Val Loss: 52702962778112.0000000000
Epoch:53 Train Loss:15792510045752.8886718750 Val Loss: 52541403430912.0000000000
Epoch:54 Train Loss:15742796649813.3339843750 Val Loss: 52544393969664.0000000000
Epoch:55 Train Loss:15711646544327.1113281250 Val Loss: 52644823433216.0000000000
Epoch:56 Train Loss:15693126332871.1113281250 Val Loss: 52797329375232.0000000000
Epoch:57 Train Loss:15683051527281.7773437500 Val Loss: 52972060934144.0000000000
Epoch:58 Train Loss:15678488066275.5546875000 Val Loss: 53150105993216.0000000000
Epoch:59 Train Loss:15677427955939.5546875000 Val Loss: 53320075968512.0000000000
Epoch:60 Train Loss:15678505484288.0000000000 Val Loss: 53475699326976.0000000000
Epoch:61 Train Loss:15680797729678.2226562500 Val Loss: 53614074658816.0000000000
Epoch:62 Train Loss:15683717140024.8886718750 Val Loss: 53734485786624.0000000000
Epoch:63 Train Loss:15686877285944.8886718750 Val Loss: 53837518864384.0000000000
Epoch:64 Train Loss:15690058782037.3339843750 Val Loss: 53924498243584.0000000000
Epoch:65 Train Loss:15693119895779.5546875000 Val Loss: 53997089062912.0000000000
Epoch:66 Train Loss:15695999198094.2226562500 Val Loss: 54057153593344.0000000000
Epoch:67 Train Loss:15698665989006.2226562500 Val Loss: 54106434568192.0000000000
Epoch:68 Train Loss:15701120501532.4453125000 Val Loss: 54146571960320.0000000000
Epoch:69 Train Loss:15703375784618.6660156250 Val Loss: 54179098787840.0000000000
Epoch:70 Train Loss:15705450071836.4453125000 Val Loss: 54205280681984.0000000000
Epoch:71 Train Loss:15707364742485.3339843750 Val Loss: 54226295193600.0000000000
Epoch:72 Train Loss:15709147933354.6660156250 Val Loss: 54243071361024.0000000000
Epoch:73 Train Loss:15710811499178.6660156250 Val Loss: 54256434413568.0000000000
Epoch:74 Train Loss:15712385178737.7773437500 Val Loss: 54267037614080.0000000000
Epoch:75 Train Loss:15713883943367.1113281250 Val Loss: 54275439853568.0000000000
Epoch:76 Train Loss:15715322298368.0000000000 Val Loss: 54282085728256.0000000000
Epoch:77 Train Loss:15716708807111.1113281250 Val Loss: 54287344336896.0000000000
Epoch:78 Train Loss:15718057800135.1113281250 Val Loss: 54291519766528.0000000000
Epoch:79 Train Loss:15719382442894.2226562500 Val Loss: 54294833266688.0000000000
Epoch:80 Train Loss:15720682648007.1113281250 Val Loss: 54297495601152.0000000000
Epoch:81 Train Loss:15721968114801.7773437500 Val Loss: 54299637841920.0000000000
Epoch:82 Train Loss:15723244086158.2226562500 Val Loss: 54301360652288.0000000000
Epoch:83 Train Loss:15724514552490.6660156250 Val Loss: 54302793007104.0000000000
Epoch:84 Train Loss:15725781785713.7773437500 Val Loss: 54304002015232.0000000000
Epoch:85 Train Loss:15727046747022.2226562500 Val Loss: 54305020182528.0000000000
Epoch:86 Train Loss:15728316310414.2226562500 Val Loss: 54305913569280.0000000000
Epoch:87 Train Loss:15729586543729.7773437500 Val Loss: 54306704195584.0000000000
Epoch:88 Train Loss:15730860563569.7773437500 Val Loss: 54307423518720.0000000000
Epoch:89 Train Loss:15732142826382.2226562500 Val Loss: 54308078878720.0000000000
Epoch:90 Train Loss:15733431118506.6660156250 Val Loss: 54308709072896.0000000000
Epoch:91 Train Loss:15734725905976.8886718750 Val Loss: 54309306761216.0000000000
Epoch:92 Train Loss:15736028732529.7773437500 Val Loss: 54309872992256.0000000000
Epoch:93 Train Loss:15737338636970.6660156250 Val Loss: 54310448660480.0000000000
Epoch:94 Train Loss:15738656551367.1113281250 Val Loss: 54311001260032.0000000000
Epoch:95 Train Loss:15739986903040.0000000000 Val Loss: 54311558053888.0000000000
Epoch:96 Train Loss:15741323342279.1113281250 Val Loss: 54312105410560.0000000000
Epoch:97 Train Loss:15742670121642.6660156250 Val Loss: 54312649621504.0000000000
Epoch:98 Train Loss:15744026046919.1113281250 Val Loss: 54313206415360.0000000000
Epoch:99 Train Loss:15745393885184.0000000000 Val Loss: 54313748529152.0000000000
Epoch:100 Train Loss:15746770519836.4453125000 Val Loss: 54314314760192.0000000000
save: CT_polyfit_Spolyfit_c7_40s/layer_1.0.block.exp_1x1.block.act_coef.pt


end point: 69.97437286376953
coef: tensor([[ 3.8155e-02, -2.8383e-05,  9.0163e-09, -9.3786e-13]],
       dtype=torch.float64)
name:  layer_1.0.block.conv_3x3.block.act
layer_1.0.block.conv_3x3.block.act_input.pt
Epoch:1 Train Loss:49528685074962538496.0000000000 Val Loss: 11324656955034697728.0000000000
Epoch:2 Train Loss:2568868838268352512.0000000000 Val Loss: 914721999895396352.0000000000
Epoch:3 Train Loss:254905173895399200.0000000000 Val Loss: 214646625614692352.0000000000
Epoch:4 Train Loss:25458476849066440.0000000000 Val Loss: 9774201762217984.0000000000
Epoch:5 Train Loss:1405842806596494.2500000000 Val Loss: 747875977920512.0000000000
Epoch:6 Train Loss:136096396491434.6718750000 Val Loss: 135579744337920.0000000000
Epoch:7 Train Loss:21988985434339.5546875000 Val Loss: 12604378972160.0000000000
Epoch:8 Train Loss:2155112178346.6667480469 Val Loss: 2715823636480.0000000000
Epoch:9 Train Loss:580769094087.1110839844 Val Loss: 8793425920.0000000000
Epoch:10 Train Loss:67610574620.4444427490 Val Loss: 98161250304.0000000000
Epoch:11 Train Loss:33371106958.2222213745 Val Loss: 59993757696.0000000000
Epoch:12 Train Loss:17440142620.4444427490 Val Loss: 19804626432.0000000000
Epoch:13 Train Loss:9460485432.8888893127 Val Loss: 8361384192.0000000000
Epoch:14 Train Loss:8748152604.4444446564 Val Loss: 8760410624.0000000000
Epoch:15 Train Loss:9265157973.3333339691 Val Loss: 8996219904.0000000000
Epoch:16 Train Loss:9395987911.1111106873 Val Loss: 8693858816.0000000000
Epoch:17 Train Loss:8939309966.2222213745 Val Loss: 8402977536.0000000000
Epoch:18 Train Loss:8621900544.0000000000 Val Loss: 8298456832.0000000000
Epoch:19 Train Loss:8607180999.1111106873 Val Loss: 8262267136.0000000000
Epoch:20 Train Loss:8639016248.8888893127 Val Loss: 8283347200.0000000000
Epoch:21 Train Loss:8624086926.2222213745 Val Loss: 8275461376.0000000000
Epoch:22 Train Loss:8628151836.4444446564 Val Loss: 8273582848.0000000000
Epoch:23 Train Loss:8630635576.8888893127 Val Loss: 8273397504.0000000000
Epoch:24 Train Loss:8631028878.2222213745 Val Loss: 8271494656.0000000000
Epoch:25 Train Loss:8632800995.5555553436 Val Loss: 8270266880.0000000000
Epoch:26 Train Loss:8634123377.7777786255 Val Loss: 8268911616.0000000000
Epoch:27 Train Loss:8635491584.0000000000 Val Loss: 8267527936.0000000000
Epoch:28 Train Loss:8636900579.5555553436 Val Loss: 8266173952.0000000000
Epoch:29 Train Loss:8638280647.1111106873 Val Loss: 8264801536.0000000000
Epoch:30 Train Loss:8639677184.0000000000 Val Loss: 8263431680.0000000000
Epoch:31 Train Loss:8641074801.7777786255 Val Loss: 8262056448.0000000000
Epoch:32 Train Loss:8642479473.7777786255 Val Loss: 8260677632.0000000000
Epoch:33 Train Loss:8643891057.7777786255 Val Loss: 8259297280.0000000000
Epoch:34 Train Loss:8645310805.3333339691 Val Loss: 8257910016.0000000000
Epoch:35 Train Loss:8646740821.3333339691 Val Loss: 8256521728.0000000000
Epoch:36 Train Loss:8648180622.2222213745 Val Loss: 8255129856.0000000000
Epoch:37 Train Loss:8649634104.8888893127 Val Loss: 8253732608.0000000000
Epoch:38 Train Loss:8651099050.6666660309 Val Loss: 8252333056.0000000000
Epoch:39 Train Loss:8652579043.5555553436 Val Loss: 8250931456.0000000000
Epoch:40 Train Loss:8654073600.0000000000 Val Loss: 8249525248.0000000000
Epoch:41 Train Loss:8655585678.2222213745 Val Loss: 8248118016.0000000000
Epoch:42 Train Loss:8657114737.7777786255 Val Loss: 8246706432.0000000000
Epoch:43 Train Loss:8658661717.3333339691 Val Loss: 8245292800.0000000000
Epoch:44 Train Loss:8660228494.2222213745 Val Loss: 8243878144.0000000000
Epoch:45 Train Loss:8661818026.6666660309 Val Loss: 8242461696.0000000000
Epoch:46 Train Loss:8663428181.3333339691 Val Loss: 8241044480.0000000000
Epoch:47 Train Loss:8665061802.6666660309 Val Loss: 8239626240.0000000000
Epoch:48 Train Loss:8666720455.1111106873 Val Loss: 8238209280.0000000000
Epoch:49 Train Loss:8668405048.8888893127 Val Loss: 8236790528.0000000000
Epoch:50 Train Loss:8670116465.7777786255 Val Loss: 8235374592.0000000000
Epoch:51 Train Loss:8671855815.1111106873 Val Loss: 8233959680.0000000000
Epoch:52 Train Loss:8673625884.4444446564 Val Loss: 8232548608.0000000000
Epoch:53 Train Loss:8675425877.3333339691 Val Loss: 8231140096.0000000000
Epoch:54 Train Loss:8677258979.5555553436 Val Loss: 8229735680.0000000000
Epoch:55 Train Loss:8679125674.6666660309 Val Loss: 8228336128.0000000000
Epoch:56 Train Loss:8681028039.1111106873 Val Loss: 8226941184.0000000000
Epoch:57 Train Loss:8682966670.2222213745 Val Loss: 8225554432.0000000000
Epoch:58 Train Loss:8684942904.8888893127 Val Loss: 8224175616.0000000000
Epoch:59 Train Loss:8686959786.6666660309 Val Loss: 8222805760.0000000000
Epoch:60 Train Loss:8689018254.2222213745 Val Loss: 8221446144.0000000000
